"Subject","ID","Description","Status","Location","Start Date","End Date","Duration Hours","Duration Minutes","Reminder Time","Meeting Type","External App ID","Meeting Password","Start/Join Meeting","Host URL","Display URL","Meeting Creator","Parent Type","Parent ID","Outlook ID","Assigned to","assigned_user_id","Date Created","Date Modified","Created by","Modified by","Deleted","Email Reminder Time","Email reminder sent","Meeting update sequence","Repeat Type","Repeat Interval","Repeat Dow","Repeat Until","Repeat Count","Repeat Parent ID","Recurring Source","Google Event ID","Last Google Sync Timestamp","Longitude","Address","Geocode Status","Latitude"
"Meeting","101c94bc-d2a0-cff6-71e8-690348e4d78b","","Held","","08/30/2024 00:00","08/30/2024 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","3e5f3186-0dbd-0ea0-38db-68f1ff6f0c31","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:13","10/31/2025 07:05","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Kvartalsmöte","101f2a6d-efa2-7bb6-3c38-69034880db7a","","Held","","05/23/2023 00:00","05/23/2023 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","e0b76113-b9bf-af22-b777-68f1ff5d0024","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:12","10/31/2025 07:05","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Kvartalsmöte","1024f388-54eb-609b-4548-69034837969b","","Held","","03/03/2023 00:00","03/03/2023 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","3e5f3186-0dbd-0ea0-38db-68f1ff6f0c31","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:12","10/31/2025 07:04","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Kvartalsmöte","102c94fd-62bd-c92e-4343-690348fb2aae","","Held","","02/09/2023 00:00","02/09/2023 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","b8274559-cbc1-aef7-afc0-68f1ff9e4dbf","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:12","10/31/2025 07:04","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","1039c33f-8891-5c48-bbfa-6903486e4d49","Diskussion och rådgivning om en investering i piracy prevention samt om en framtida streamingtjänst för GB Olympics","Held","","06/10/2022 00:00","06/10/2022 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","b5e2403c-c4a7-4860-fe40-68f1ff1dc07d","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:12","10/31/2025 07:04","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Kvartalsmöte","103d1670-748a-7870-da66-690347b1f4e6","<ol><li><p>Telenor update:</p></li></ol><ul><li>New CEO with TV background, Bjørn Ivar Moen<br /></li><li>Focus on streaming<br /></li><li>Finalizing the Nirvana project with 24i<br /></li><li>Increased focus on big screen and being pre-installed<br /></li></ul>","Held","","11/25/2021 00:00","11/25/2021 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","e0b76113-b9bf-af22-b777-68f1ff5d0024","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:11","10/31/2025 07:04","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting with NPAW","1046a119-bb2a-05ae-cf96-6904b18bedd9","Met with Renata and talked about their Gigset deal. Seems like they are having some issues understanding eachother so may have to bridge the gap for them. And potentially help them develop a plugin, but that is low chance.
<div>Next action to talk with Johan at Gigset</div>","Held","","09/16/2023 00:00","09/16/2023 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","2cfa02b4-833c-ce08-abbf-68f1ff297875","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/31/2025 12:52","10/31/2025 12:56","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","104f949d-6861-87d1-b6df-690348aa257e","","Held","","05/08/2025 00:00","05/08/2025 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","90515ce1-9d7e-08a8-07ce-68f1ffc9f0f2","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:14","10/31/2025 07:05","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","1091f053-0bee-24b8-fbba-69034835a020","Möte under Fraunhofer MWS i Berlin","Held","","06/22/2022 00:00","06/22/2022 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","46c380f0-b0f3-17f1-1973-68f1ffefe526","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:12","10/31/2025 07:04","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","109999a4-55cb-3c89-5f0f-6903488583ba","","Held","","09/18/2023 00:00","09/18/2023 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","70c40147-812e-5e7a-587d-68f1ff4609e6","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:12","10/31/2025 07:05","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","10a00cb8-0f2a-251f-c8ad-690347665895","<ul type=""disc"" style=""margin-bottom:0cm;""><li style=""margin:0cm;"">Discovery teamet i Seattle följer oss noga, och vill gärna jobba med oss. Bara all pappersarbete kommer på plats så kommer de ?köpa loss? vår corruptor som open source och ser fram emot att tillsammans utveckla den vidare. De hade även några andra saker som de såg behov av som jag skall diskutera vidare när jag kommer hem om hur vi kan hantera på något smart sätt. Här gäller det bara att fortsätta mala så kommer det lossna. </li></ul><br /><br />","Held","","04/25/2022 00:00","04/25/2022 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","d933c57a-f3e4-e99f-2e66-68f1fe86f09d","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:11","10/31/2025 07:04","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","10aa6104-d4e1-508a-5dff-68fb78365a5c","Lunchmöte med dem och Jonas. De stöter på en del videostreamingrelaterat men saknar resurser och kompetens. Önskar både strategihjälp och teknikhjälp. ","Held","","04/26/2022 00:00","04/26/2022 01:00","1","0","'-1","SuiteCRM","","","","","","","Accounts","90515ce1-9d7e-08a8-07ce-68f1ffc9f0f2","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/24/2025 13:00","11/06/2025 09:17","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Kvartalsmöte","10b7bcde-6644-fb4e-9ecc-69034816eff7","","Held","","08/25/2023 00:00","08/25/2023 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","b8274559-cbc1-aef7-afc0-68f1ff9e4dbf","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:12","10/31/2025 07:05","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","10c618bc-c6f6-b827-6f24-68fb7888ef36","","Held","","08/24/2023 00:00","08/24/2023 01:00","1","0","'-1","SuiteCRM","","","","","","","Accounts","8065ef5e-eca1-9f5c-2dbb-68f1ffef7d7e","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/24/2025 13:00","11/06/2025 09:18","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","10d4eb0c-e975-fa7f-e971-68fb786f2eb6","Intressant samtal kring piracy. Henrik jobbar med deras transaktionsaffär (hyr och köp film)","Held","","02/13/2024 00:00","02/13/2024 01:00","1","0","'-1","SuiteCRM","","","","","","","Accounts","3a9566fd-ea89-c3ba-97d7-68f1feb1effe","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/24/2025 13:00","11/06/2025 09:18","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","10e1cc79-cbf5-df80-1956-690348b2900d","Möte på SportsPro Madrid","Held","","11/21/2024 00:00","11/21/2024 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","46c380f0-b0f3-17f1-1973-68f1ffefe526","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:13","10/31/2025 07:05","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Lunch med Mohamed Anvarsson","10f3aaaa-15cc-be15-5121-6904b1d04b6d","Mohamed har precis slutat på Warner och söker nu jobb, främst som program mgr. Han berättar att Pontus fortfarande är högsta tekniska chefen i sverige men att de mest jobbar med betalsystem (MAM enligt Magnus och Jonas). ","Held","","11/14/2024 00:00","11/14/2024 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","d933c57a-f3e4-e99f-2e66-68f1fe86f09d","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/31/2025 12:53","10/31/2025 12:56","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","111c3210-de5f-8c1d-d236-68fb7849bf45","","Held","","11/12/2024 00:00","11/12/2024 01:00","1","0","'-1","SuiteCRM","","","","","","","Accounts","5cbf9ab7-f977-21aa-5feb-68f1ffe1f80e","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/24/2025 13:00","11/06/2025 09:19","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","112e0280-c24e-7b18-f624-690347dcba66","","Held","","09/21/2020 00:00","09/21/2020 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","4c2c0763-d9c9-65c0-c6cc-68f1ff96055e","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:10","10/31/2025 07:03","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","1136cb1c-f593-5291-66f6-6904b106b6a3","","Held","","09/27/2023 00:00","09/27/2023 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","9e518ae6-97b9-3f99-cf8d-68f1ff61198e","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/31/2025 12:53","10/31/2025 12:56","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","11575899-1db9-a5ac-ef5a-68fb781090d6","Behov av hjälp med IPTV och lokala nätägare Trollhättan m.m. Behöver tekniska ledare, testare m.m.","Held","","11/23/2021 00:00","11/23/2021 01:00","1","0","'-1","SuiteCRM","","","","","","","Opportunities","424107ff-86b0-191d-cbad-68f2018993c9","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/24/2025 13:00","11/06/2025 12:12","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","1169129d-b8df-2cfb-291e-690347c77e50","","Held","","05/10/2021 00:00","05/10/2021 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","c28d91d8-355d-7cac-7db7-68f1ff521b09","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:11","10/31/2025 07:04","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Lunch","117908f9-5b09-207e-9ba6-6904b1c3cf9a","Lunch med Jimmie. Jimmie sitter som PM/PO på tekniksidan och erbjuder en kontaktväg in till utvecklingsavdelningen, dit han sickar vidare mitt mail om OSC. ","Held","","02/15/2024 00:00","02/15/2024 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","5cbf9ab7-f977-21aa-5feb-68f1ffe1f80e","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/31/2025 12:53","10/31/2025 12:56","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","11c59158-d61b-cc52-97ea-68fb78d404b9","","Held","","06/02/2022 00:00","06/02/2022 01:00","1","0","'-1","SuiteCRM","","","","","","","Accounts","b8274559-cbc1-aef7-afc0-68f1ff9e4dbf","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/24/2025 13:00","11/06/2025 09:17","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","11f2cdd8-5d7b-f982-986d-6903485dc2ba","","Held","","09/16/2024 00:00","09/16/2024 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","e5d3ce6d-676c-146f-9809-68f1ff1fa849","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:13","10/31/2025 07:05","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","1215ed24-b27c-7b5a-8b2f-690347a0b9d3","Genomgång av encoding.com produkter och erbjudande","Held","","06/16/2021 00:00","06/16/2021 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","de634b91-d204-5de2-6fd2-68f1ff208e93","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:11","10/31/2025 07:04","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Kvartalsmöte","12253d58-7342-e387-e1b2-6903476469eb","
<div>
<div>
<div><p>Norigin Media update:</p><ul><li><p>A lot of RFP the last month</p></li><li><p>Recruiting</p></li><li><p>Full speed with the ongoing projects</p></li><li><p>More devices in the Nordic/European region</p></li></ul></div></div></div>","Held","","09/23/2021 00:00","09/23/2021 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","39e72773-abc2-6b13-2483-68f1ff93dd58","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:11","10/31/2025 07:04","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","1229bed5-bbcd-d084-3bf4-6903484ffcc4","","Held","","11/28/2023 00:00","11/28/2023 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","981ce446-52b6-14f8-65c9-68f1ff812ff8","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:13","10/31/2025 07:05","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","1256cdfa-672c-8067-5746-690348b7330b","","Held","","09/26/2024 00:00","09/26/2024 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","9bed5067-336c-6692-0352-68f1ff6f600e","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:13","10/31/2025 07:05","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Kvartalsmöte","125d6410-f1df-e81a-c655-690348226ec8","","Held","","01/16/2024 00:00","01/16/2024 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","398046b5-5c2c-035b-0806-68f1ffc45c23","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:13","10/31/2025 07:05","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","12630c45-2970-53d1-3b63-68fb7867e2c4","Kvartalsmöte","Held","","02/25/2022 00:00","02/25/2022 01:00","1","0","'-1","SuiteCRM","","","","","","","Accounts","eaf7ee9b-898f-fc5e-59a8-68f1fe58ac0f","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/24/2025 13:00","11/06/2025 09:17","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","128d278d-05d2-9e7f-638a-690348447845","STSWE talare","Held","","06/01/2022 00:00","06/01/2022 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","aaf8008f-66bf-0a39-a43e-68f1fef0d86a","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:12","10/31/2025 07:04","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Lunch","12a16983-cf51-eab1-de7b-6904b1fd37bd","Lunch med Micke Höljö som berättar att teamet krymper. ","Held","","08/27/2025 00:00","08/27/2025 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","193dbbd5-2665-c9cf-673d-68f1fea758b4","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/31/2025 12:53","10/31/2025 12:56","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","12e43a9d-b5a5-c267-c86f-69034849fd31","SportsPro OTT Summit USA","Held","","03/14/2023 00:00","03/14/2023 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","d0d333c2-9f84-2293-b42c-68f1fed579bc","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:12","10/31/2025 07:04","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","12f00dff-fe01-0eb4-f296-68fb78ffa933","Besök hos LinQ","Held","","09/27/2021 00:00","09/27/2021 01:00","1","0","'-1","SuiteCRM","","","","","","","Accounts","5571f908-1b54-d5c1-d761-68f1ff10cf4d","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/24/2025 13:00","11/06/2025 09:17","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Kvartalsmöte","1302c8a6-3cd8-7174-2683-690348d7a349","StockholmStream update:
<div><br />
<div>Stöd för:</div>
<div><ul><li><span>Multilanguage</span><br /></li><li><span>Collections</span></li><li><span>Export mezzanine</span><br /></li><li><span>Play proxy</span></li></ul></div>
<div><br /></div></div>","Held","","08/24/2022 00:00","08/24/2022 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","3f15bfba-692a-69e4-afe1-68f1ff69ffd1","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:12","10/31/2025 07:04","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Kaffe med Sebastian hos Eyevinn","1313a186-16f5-81af-f12e-6904b14c6ede","Sebastian kom upp på en fika då han ändå befinner sig i Stockholm för möten med UR och Nenda. 
<div>Snackade mycket om NAB och marknaden i allmänhet. </div>
<div>Eventuellt ändras (eller ställs in) Northern Waves 2025 pga mycket jobb.</div>","Held","","03/19/2025 00:00","03/19/2025 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","39e72773-abc2-6b13-2483-68f1ff93dd58","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/31/2025 12:53","10/31/2025 12:56","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","132f5742-ab7e-6595-da85-69034867e3be","","Held","","07/03/2025 00:00","07/03/2025 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","6de746d8-c963-5154-927f-68f1ff4f89ea","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:14","10/31/2025 07:05","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","133dc755-a210-1a4b-91ee-690348a1e992","Möte på EBU DTS 2023","Held","","03/21/2023 00:00","03/21/2023 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","472e3ffa-8cbd-4a85-cf3f-68f1ff9f1f9b","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:12","10/31/2025 07:04","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","134d7c86-a413-a24e-225c-6903482428c9","","Held","","02/27/2024 00:00","02/27/2024 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","9703a9c2-1629-e655-069e-68f1ffa0cbb7","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:13","10/31/2025 07:05","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","1352ddf3-31c2-fef0-0fae-690348cb8b64","Träffades på Media Tailor Sverige invigning","Held","","08/27/2025 00:00","08/27/2025 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","4c2c0763-d9c9-65c0-c6cc-68f1ff96055e","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:14","10/31/2025 07:06","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","1353a7f7-6bdd-0e00-f940-690347a81e62","","Held","","11/17/2020 00:00","11/17/2020 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","7163bcd9-44fb-7c2f-3cf3-68f1ffa065e9","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:11","10/31/2025 07:04","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","13916c3c-870d-e683-65e7-68fb7876b4a4","","Held","","10/13/2022 00:00","10/13/2022 01:00","1","0","'-1","SuiteCRM","","","","","","","Accounts","ad55f6ae-a8b9-b044-c3d0-68f1ff1af339","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/24/2025 13:00","11/06/2025 09:17","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","13aa6738-34e8-08b2-24a9-6903485c201b","Träffades på Odense MediaTech Festival","Held","","03/26/2025 00:00","03/26/2025 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","18b54fef-de14-3506-560d-68f1ffd1fb0f","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:13","10/31/2025 07:05","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","13c02f67-16f1-4613-ce06-690348bf8111","","Held","","06/18/2025 00:00","06/18/2025 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","e13a960d-677b-5368-aff2-68f1ff266589","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:14","10/31/2025 07:05","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","13f43c70-fbca-d0ae-a621-690348b4326b","","Held","","10/24/2023 00:00","10/24/2023 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","5d8feea5-0954-96e3-ae3e-68f1ff656030","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:12","10/31/2025 07:05","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","1408b9ad-3dd5-441a-e354-690348db98be","","Held","","12/05/2024 00:00","12/05/2024 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","4c2c0763-d9c9-65c0-c6cc-68f1ff96055e","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:13","10/31/2025 07:05","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","1415b09c-72d8-27e6-808c-690348d5044d","","Held","","08/21/2024 00:00","08/21/2024 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","4c2c0763-d9c9-65c0-c6cc-68f1ff96055e","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:13","10/31/2025 07:05","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","141903ed-cb14-4d9c-b33e-68fb7878e55c","Kvartalsmöte","Held","","04/10/2024 00:00","04/10/2024 01:00","1","0","'-1","SuiteCRM","","","","","","","Accounts","9016fb2a-7e92-3f0a-5414-68f1feb6bb19","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/24/2025 13:00","11/06/2025 09:18","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","14360fa8-ee42-c6fa-8046-6903481cfd64","Möte på NAB
<div><br /></div>
<div>Vill lägga jobb på oss. Vi behöver övertyga development</div>","Held","","04/17/2023 00:00","04/17/2023 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","eaf7ee9b-898f-fc5e-59a8-68f1fe58ac0f","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:12","10/31/2025 07:04","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","1442f82c-1ad7-3ffc-10bc-68fb7807d6fd","Lunch med Lars. Intresserad av att skicka in oss som konsulter där de själva inte ska blanda sig i. Vill samarbeta också kring low latency och PoC. ","Held","","10/03/2022 00:00","10/03/2022 01:00","1","0","'-1","SuiteCRM","","","","","","","Accounts","f07f09f4-bd46-37c4-bcd0-68f1ff019c14","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/24/2025 13:00","11/06/2025 09:17","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","145e2eed-6dd9-4fc3-d523-68fb78bfbf46","Besök hos Jonas. Se mail med dokumentation. ","Held","","09/20/2022 00:00","09/20/2022 01:00","1","0","'-1","SuiteCRM","","","","","","","Opportunities","53346d86-be27-7920-6dff-68f201f1868e","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/24/2025 13:00","11/06/2025 12:12","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","14650e3e-766e-aaa5-168d-690348bd678a","Glöggmingel hos Cederquist","Held","","11/22/2023 00:00","11/22/2023 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","90515ce1-9d7e-08a8-07ce-68f1ffc9f0f2","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:13","10/31/2025 07:05","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","14b13d03-12a4-16e0-4bc2-690347f4f6ef","Intro möte med Holger, ny säljare på Kaltura med ansvar för bl.a. Norden","Held","","10/04/2021 00:00","10/04/2021 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","9e5d5535-28e7-2341-2c97-68f1ffb957db","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:11","10/31/2025 07:04","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Snack under stew","15332d33-808c-1a6a-487c-6904b1fb4631","Pratade ihop mig med Per Tullstedt om starten av projektet. ","Held","","05/21/2025 00:00","05/21/2025 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","6b3f0872-022f-3193-f6f6-68f1ffeeb22a","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/31/2025 12:53","10/31/2025 12:56","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","153cf8ce-a040-cf40-4e4b-6903488ce082","","Held","","10/27/2022 00:00","10/27/2022 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","30a42504-d552-0b99-bc46-68f1ffdc9f20","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:12","10/31/2025 07:04","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
"Meeting","153f8c87-3db7-eea5-7ab4-6903482d0937","","Held","","06/01/2023 00:00","06/01/2023 00:00","0","","'-1","SuiteCRM","","","","","","","Accounts","aec9ecab-0bdc-1308-1d38-68f1ff973d39","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/30/2025 11:12","10/31/2025 07:05","1","1","0","'-1","0","0","None","1","","","","","","","","0,00000000","","","0,00000000"
