"Name","ID","Website","Email Address","email_addresses_non_primary","Office Phone","Alternate Phone","Fax","Billing Street","Billing City","Billing State","Billing Postal Code","Billing Country","Shipping Street","Shipping City","Shipping State","Shipping Postal Code","Shipping Country","Description","Type","Industry","Annual Revenue","Employees","SIC Code","Ticker Symbol","Parent Account ID","Ownership","Campaign ID","Rating","Assigned to","Assigned User","Date Created","Date Modified","Modified by","Created by","Deleted","Longitude","Address","Geocode Status","Latitude"
"Zound Industries","101796ae-e827-3023-83c3-68f1ff1c2969","","","","","","","","","","","","","","","","","","","","","","","","","","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:32","10/27/2025 11:28","1","1","0","0,00000000","","","0,00000000"
"Digital Support Systems","1035b762-8966-aa85-b862-68f1fe9f5082","","","","","","","","","","","","","","","","","","","","","","","","","","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:31","10/27/2025 11:28","1","1","0","0,00000000","","","0,00000000"
"Nordisk Film","1059233d-2575-9be8-3890-68f1ffacacaf","","","","","","","","","","","","","","","","","","","","","","","","","","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:32","10/27/2025 11:28","1","1","0","0,00000000","","","0,00000000"
"Eurovision","11670375-e35a-80ed-d5b8-68f1ff0c203f","","","","","","","","","","","","","","","","","","","","","","","","","","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:33","10/27/2025 11:29","1","1","0","0,00000000","","","0,00000000"
"Sony Pictures","11748990-b5a2-6240-e36f-68f1ff6cea83","","","","","","","","","","","","","","","","","","","","","","","","","","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:33","10/27/2025 11:29","1","1","0","0,00000000","","","0,00000000"
"Vigor Systems Inc","117d0eb6-fce9-673d-ea22-68f1ff3a6418","","","","","","","","","","","","","","","","","","","","","","","","","","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:32","10/27/2025 11:28","1","1","0","0,00000000","","","0,00000000"
"Zenfors","121f9cfa-befc-d9fb-38a8-68f1ff76e8d6","","","","","","","","","","","","","","","","","","","","","","","","","","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:33","10/27/2025 11:29","1","1","0","0,00000000","","","0,00000000"
"Hollywood Industry","1277e4fc-9b57-9bb2-d003-68f1ff66c547","","","","","","","","","","","","","","","","","","","","","","","","","","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:32","10/27/2025 11:28","1","1","0","0,00000000","","","0,00000000"
"Bambuser","127e0814-330e-163a-ef4f-68f1fe065ce5","","","","","","","","","","","","","","","","","","","","","","","","","","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:31","10/27/2025 11:28","1","1","0","0,00000000","","","0,00000000"
"ProSiebenSat.1","12a104e8-035b-27d3-a00b-68f1ff8b0b8b","","","","","","","","","","","","","","","","","","","","","","","","","","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:33","10/27/2025 11:29","1","1","0","0,00000000","","","0,00000000"
"Oxagile","12c52a52-af98-ced6-387f-68f1ff463604","","","","","","","","","","","","","","","","","","","","","","","","","","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:32","10/27/2025 11:28","1","1","0","0,00000000","","","0,00000000"
"RSA","13486dee-f235-4776-6ee2-68f1ff0f71cf","","","","","","","","","","","","","","","","","","","","","","","","","","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:32","10/27/2025 11:28","1","1","0","0,00000000","","","0,00000000"
"Realsprint","1373760f-ecbf-4f54-663f-68f1ff34d926","","","","","","","","","","","","","","","","","","","","","","","","","","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:32","10/27/2025 11:28","1","1","0","0,00000000","","","0,00000000"
"Skydome","13e651f9-1e1d-3d71-a8dd-68f1ff8cf70c","","","","","","","","","","","","","","","","","","","","","","","","","","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:32","10/27/2025 11:28","1","1","0","0,00000000","","","0,00000000"
"Telestream","1571a2d3-ab88-ee7e-cc6a-68f1ff58e9ea","","","","","","","","","","","","","","","","","","","","","","","","","","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:32","10/27/2025 11:28","1","1","0","0,00000000","","","0,00000000"
"The Team Play","1581b66b-2e0a-5389-8118-68f1ff456d16","","","","","","","","","","","","","","","","","","","","","","","","","","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:33","10/27/2025 11:29","1","1","0","0,00000000","","","0,00000000"
"Al Mashhad","15e0b60d-e114-fafa-7985-68f1ff900940","","","","","","","","","","","","","","","","","","","","","","","","","","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:33","10/27/2025 11:29","1","1","0","0,00000000","","","0,00000000"
"V Broadcasting","15ecd482-3d9d-6137-38de-68f1ff2aa63f","","","","","","","Armenia","","","","Armenia","","","","","","","","","","","","","","","","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/17/2025 08:33","10/27/2025 11:29","1","1","0","0,00000000","","","0,00000000"
"FTV Prima","160335f4-0d07-7987-8749-68f1ffad1165","","","","","","","","","","","","","","","","","","","","","","","","","","","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/17/2025 08:33","10/27/2025 11:29","1","1","0","0,00000000","","","0,00000000"
"Timepass TV","16496693-0794-771c-fdfd-68f1ffbccf9e","","","","","","","","","","","","","","","","","","","","","","","","","","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:33","10/27/2025 11:29","1","1","0","0,00000000","","","0,00000000"
